time_epoch,time_iso,lat,lon,error_km,count,arrays,backazimuths,time_span_s,source_file
1600128319.463,2020-09-15T00:05:19.462500+00:00,-76.889146,-103.593249,0.0,2,0;1,120.0;195.0;120.0;190.0,8.625,locations_summary_20200915.csv
1600128329.938,2020-09-15T00:05:29.937500+00:00,-77.230099,-103.926915,0.0,2,0;1,275.0;195.0;275.0;190.0,8.625,locations_summary_20200915.csv
1600128652.1,2020-09-15T00:10:52.100000+00:00,-76.556589,-103.056314,0.0,3,0;1,325.0;250.0;320.0;245.0;320.0;280.0,215.725,locations_summary_20200915.csv
1600325971.838,2020-09-17T06:59:31.837500+00:00,-76.680244,-103.42489,0.0,2,0;1,310.0;185.0;315.0;230.0,49080.875,locations_summary_20200917.csv
1600387520.313,2020-09-18T00:05:20.312500+00:00,-76.719927,-100.829736,0.0,2,0;1,345.0;285.0;180.0;285.0,4.775,locations_summary_20200918.csv
1600387576.438,2020-09-18T00:06:16.437500+00:00,-77.122787,-99.079757,0.0,2,0;1,250.0;300.0;50.0;300.0,15.875,locations_summary_20200918.csv
1600474034.312,2020-09-19T00:07:14.312500+00:00,-77.204865,-101.331675,0.0,2,0;1,120.0;145.0;290.0;145.0,20.925,locations_summary_20200919.csv
1600560367.85,2020-09-20T00:06:07.850000+00:00,-76.549864,-103.236874,0.0,3,0;1,320.0;85.0;320.0;305.0;320.0;150.0,23.425,locations_summary_20200920.csv
1600560514.063,2020-09-20T00:08:34.062500+00:00,-77.310367,-100.705646,0.0,6,0;1,90.0;140.0;285.0;140.0;285.0;145.0;235.0;145.0;235.0;140.0;345.0;140.0,100.2,locations_summary_20200920.csv
1600646838.775,2020-09-21T00:07:18.774999+00:00,-77.081899,-101.837196,0.0,2,0;1,125.0;330.0;125.0;145.0,5.15,locations_summary_20200921.csv
1600733142.712,2020-09-22T00:05:42.712499+00:00,-77.466755,-108.907583,0.0,2,0;1,85.0;235.0;85.0;235.0,16.125,locations_summary_20200922.csv
1600733222.15,2020-09-22T00:07:02.149999+00:00,-77.085074,-100.270342,0.0,3,0;1,10.0;120.0;10.0;310.0;200.0;310.0,28.525,locations_summary_20200922.csv
