time_epoch,time_iso,lat,lon,error_km,count,arrays,union_arrays_count,backazimuths,time_span_s,triangulated,source_file
1578874005.925,2020-01-13T00:06:45.925001+00:00,-77.106756,-105.261058,0.0,1,0;1,2,280.0;220.0,0.0,True,locations_summary_20200113_triangulated.csv
1578874022.575,2020-01-13T00:07:02.575001+00:00,-76.06738,-101.430157,0.0,1,0;1,2,170.0;220.0,0.0,True,locations_summary_20200113_triangulated.csv
1578874041.6,2020-01-13T00:07:21.600000+00:00,-75.420915,-101.930857,0.0,1,0;1,2,170.0;15.0,0.0,True,locations_summary_20200113_triangulated.csv
1578874216.225,2020-01-13T00:10:16.225000+00:00,-76.672208,-101.216214,0.0,2,0;1,2,170.0;100.0;340.0;285.0,332.65,True,locations_summary_20200113_triangulated.csv
1578874106.25,2020-01-13T00:08:26.250000+00:00,-76.16256,-102.803753,0.0,1,0;1,2,155.0;15.0,0.0,True,locations_summary_20200113_triangulated.csv
1578874115.925,2020-01-13T00:08:35.925000+00:00,-77.850023,-99.347375,0.0,1,0;1,2,155.0;325.0,0.0,True,locations_summary_20200113_triangulated.csv
1578874690.1,2020-01-13T00:18:10.100000+00:00,-77.446055,-107.86831,0.0,1,0;1,2,85.0;230.0,0.0,True,locations_summary_20200113_triangulated.csv
1578960302.7,2020-01-14T00:05:02.700000+00:00,-76.180257,-99.610021,0.0,1,0;1,2,10.0;65.0,0.0,True,locations_summary_20200114_triangulated.csv
1578960316.525,2020-01-14T00:05:16.525000+00:00,-76.455585,-102.203559,0.0,1,0;1,2,335.0;65.0,0.0,True,locations_summary_20200114_triangulated.csv
1578960333.75,2020-01-14T00:05:33.750000+00:00,-76.28342,-102.556199,0.0,1,0;1,2,335.0;30.0,0.0,True,locations_summary_20200114_triangulated.csv
1578960344.525,2020-01-14T00:05:44.525000+00:00,-81.347492,-115.39882,0.0,1,0;1,2,220.0;30.0,0.0,True,locations_summary_20200114_triangulated.csv
